num_lectures,price,days_since_published,content_duration
11,0,2418,1.0
25,100,1892,6.5
11,40,2027,1.0
65,95,2379,2.5
21,20,2423,2.0
69,175,1811,9.5
24,40,2063,1.5
12,30,2306,1.0
13,95,2487,1.5
71,100,2751,3.5
95,75,2044,8.5
152,200,2082,5.5
49,40,2628,4.5
19,50,2393,2.0
11,20,2404,0.6333333333333333
138,190,2193,7.5
12,80,1892,0.7333333333333333
14,20,2429,3.0
29,95,2506,2.5
61,200,1882,9.5
92,105,1820,4.0
28,100,2440,2.5
16,75,2549,2.0
16,30,2226,3.0
14,30,2388,1.5
99,80,2396,2.0
7,0,1930,1.0
15,60,2077,1.5
12,0,2485,1.0
11,50,1780,2.0
49,200,2528,4.5
100,125,2363,20.5
16,95,2194,1.0
61,75,2643,6.0
16,20,2506,1.5
36,200,2432,2.5
12,40,2490,1.0
25,50,2491,2.0
12,60,1982,1.0
42,95,2527,5.0
16,75,2312,1.5
26,20,2470,3.0
30,20,1832,2.5
8,0,2499,1.0
20,0,2592,3.0
21,0,1816,3.0
87,40,2038,10.0
13,25,2749,1.5
60,20,2092,6.5
28,50,2059,3.0
56,200,2248,11.0
161,145,1813,14.0
98,50,2311,0.5166666666666666
24,95,2723,1.5
76,150,3351,13.0
224,200,2921,28.5
17,40,2263,1.5
6,50,1842,0.5333333333333333
18,50,2688,2.0
18,20,2323,1.0
12,25,2137,1.0
10,60,3363,2.0
31,20,2008,4.0
32,25,1802,3.5
29,200,2539,2.5
45,0,3380,10.5
91,200,2673,10.0
68,20,2465,6.5
24,30,3344,4.0
25,50,2155,1.5
11,40,2234,1.0
25,105,1793,1.5
26,60,2031,0.6333333333333333
69,100,2669,10.0
37,50,2355,1.5
66,20,2690,5.5
35,60,2115,4.0
45,75,2525,4.5
53,45,2316,7.0
10,25,2001,1.0
9,40,2539,2.0
60,50,2240,13.5
29,50,1850,3.5
34,35,2549,1.0
19,25,2245,1.0
18,30,1889,2.5
34,20,1988,1.5
96,195,2073,12.5
9,100,2687,1.0
16,20,3067,3.0
16,100,1777,1.0
36,100,1944,3.0
21,200,2588,2.0
35,45,2120,1.5
83,85,1842,5.0
8,20,2183,1.0
91,60,2185,16.5
30,20,1849,2.5
25,65,2519,1.0
14,40,1825,1.0
28,95,2455,5.0
13,35,2284,1.5
9,0,3136,2.0
22,195,2472,2.0
12,25,2843,3.5
9,35,2076,0.5666666666666667
29,200,2456,1.5
23,30,2512,0.7166666666666667
66,100,1798,12.5
15,25,1926,2.5
52,30,1875,3.5
14,30,2409,2.0
13,20,2688,1.5
55,50,3221,7.5
156,195,1792,24.0
158,150,1966,17.5
35,20,2262,5.0
30,20,2535,2.0
23,50,2921,3.0
108,50,2589,7.0
192,50,2679,6.0
49,50,2617,1.0
348,200,2044,19.5
12,30,1993,0.5833333333333334
15,20,2737,1.0
7,0,2058,1.0
10,50,2641,1.0
21,25,2193,3.0
5,45,2315,1.0
105,200,2109,12.5
28,45,2756,2.5
8,120,3375,2.5
34,195,2584,2.0
15,20,1861,1.0
19,40,2431,2.5
7,200,2430,1.5
8,25,2252,0.5666666666666667
30,95,1878,3.0
16,100,3235,1.0
15,45,1931,1.0
60,200,1815,5.0
16,20,1891,1.0
24,35,1777,3.5
95,0,3624,4.5
7,0,2736,1.0
18,35,2879,1.0
10,0,2171,0.5666666666666667
48,75,2019,4.5
20,50,2358,1.5
24,0,2885,1.0
5,30,2771,0.55
32,0,1962,2.0
8,20,2007,0.6166666666666667
304,20,2610,15.5
8,0,2311,1.0
12,25,2074,0.7
33,200,3276,2.5
48,30,2073,3.5
